order_id,customer_id,order_date,status
abee6c8d-b515-4ed3-ad3d-7d6f861540f4,5f939183-0237-4728-81e8-8e72ff1788e9,2023-04-14,delivered
ec794c2a-4ec6-4a8d-9647-fa7106099ec0,a2c9ae53-2522-4e3f-9696-5efd27c62d3b,2022-08-29,delivered
87414d33-b87e-4d79-b598-67d7cfbedae7,7093b2fd-7c55-4864-8f0b-14f5313f5097,2023-03-18,delivered
4262d38d-a55c-4cec-b384-d7f658b1d5fd,f8010de8-5bf5-496d-8217-cb7047305d55,2024-07-12,delivered
24f3c99b-b55c-43ee-8d19-bfa19d054088,9f51cfda-fa59-4342-a58e-ad0a5fe336d4,2024-05-16,returned
c6207f37-7ad0-44fa-8292-895554f5f465,f834b3f8-3300-408b-91b9-6523767265a4,2024-10-30,returned
98696edd-f232-4c57-8041-800b84c39d92,e15091a0-71e7-48cd-8c74-7de56dd5f9d3,2023-10-12,returned
1c49a604-3295-4631-968d-cb2bed92b8d6,8b134ad5-a937-41b9-bfe3-d793be327426,2023-06-25,returned
284a7d88-eec3-4897-bdd8-a4f52f6b4219,78deda2a-d60e-4ed1-bd83-e3939cb200e9,2023-04-16,delivered
2017a27a-50eb-468a-ac80-4b6032bc62af,b9f59a09-0132-412c-912a-27aeb904d725,2024-10-10,delivered
88ae020f-319e-4ca8-a3d3-b6428c1b6bd1,4c1a5585-6d9a-4f02-8d4c-30e71c935392,2024-11-07,delivered
1dd243a0-8b6a-4af0-bfe6-d3603735184f,bd91b370-499a-46bd-ae6c-6f5eef30fd30,2022-08-06,delivered
7c35ab02-4846-4516-85b1-62ab046b5526,247e7191-10bd-4181-b9be-a2f8085f9d89,2022-01-12,delivered
83a163df-ad5a-4346-b4c4-c2f836939461,6539bfb9-72de-4f5a-bde1-8033ea325e2d,2022-04-10,delivered
0e5dad8c-9e00-4e7d-8a79-1c7dab31c8e8,240e12ab-9c4c-45d2-8315-71f2d678abf2,2022-02-12,delivered
f0522a04-8f0c-4c1e-a567-d91081d6860d,912e8023-511a-4ebc-9da8-e010b00e1f15,2024-06-04,delivered
710fe64d-107b-4537-b584-60114c878c8c,8fd03896-2580-4d96-979a-7d466f5a4aaf,2023-01-17,cancelled
95b95353-79fe-4a34-9ce9-e054a4679f04,43fa996b-95f5-43f4-a57b-f75ad5b9b9be,2024-06-14,delivered
a3543931-7a5e-40c5-a3b7-b0f83094b81d,bec7909f-43bf-40d9-ac21-56c7bcf1da82,2022-08-09,returned
a48f3132-1ca6-4608-a274-f27612d8aa50,a35a214c-17a7-45c1-9f8c-614993b240e2,2023-01-09,cancelled
91664a60-af21-4410-98b6-7361523996b0,e56f8b4e-7d15-46e4-9d39-c501356c99f8,2023-10-05,returned
8d7fcc93-b333-41cb-951c-a141817a86fd,f89e12a4-f327-4f8f-aa3e-9a1811fff57f,2022-02-06,delivered
4e0ee366-e533-444e-ae6b-8cf07ffa3dc9,7c5dfa0b-69e9-40b9-a5fa-5e444004d8b0,2023-09-12,delivered
